地名,センター,可燃ごみ,不燃・粗大,資源回収
葵町,東部管理センター,火 金,木2,木3
相生町,東部管理センター,月 木,水4,水1
葵町,東部管理センター,水 土,金1,月4
青木,東部管理センター,月 木,火3,火4
青沢,東部管理センター,月 木,金1,火1
赤松,東部管理センター,水 土,火2,金1
秋山町,東部管理センター,火 金,月4,月3
上土１丁目（古庄自治会）,東部管理センター,火 金,月4,水2
上土１丁目（古庄自治会以外）,東部管理センター,月 木,金2,火2
上土２丁目（南沼上西部自治会）,東部管理センター,月 木,金2,水2
上土２丁目（南沼上西部自治会以外）,東部管理センター,月 木,火3,火4
安居,東部管理センター,月 木,火2,火1
足久保奥組、足久保口組,東部管理センター,火 金,木2,木4
東町,東部管理センター,水 土,火2,月2
安倍口新田,東部管理センター,水 土,火2,月4
安倍口団地,東部管理センター,月 木,水4,水1
安倍町,東部管理センター,月 木,水2,金1
有明町,東部管理センター,月 木,金1,火1
有永,東部管理センター,月 木,水4,金3
安西１丁目,東部管理センター,月 木,火3,金3
安西２～４丁目,東部管理センター,月 木,火3,金4
安西５丁目,東部管理センター,火 金,月3,月4
安東１～２丁目,東部管理センター,火 金,木3,月2
安東３丁目（大岩２丁目町内会）,東部管理センター,火 金,木3,月4
安東３丁目（大岩２丁目町内会以外）,東部管理センター,火 金,月3,月4
安東柳町,東部管理センター,月 木,金1,金4
池ヶ谷,東部管理センター,月 木,金1,金4
池ヶ谷東（池谷町内会）,東部管理センター,月 木,金1,水4
池ヶ谷東（池谷町内会以外）,東部管理センター,月 木,金4,金2
池田（池田自治会以外),東部管理センター,月 木,金4,火2
池田（池田自治会),東部管理センター,火 金,水2,水3
石田１丁目,東部管理センター,月 木,水4,水3
石田２丁目,東部管理センター,火 金,水4,水3
石田３丁目(中田三・四丁目町内会以外),東部管理センター,火 金,水4,木4
石田３丁目(中田三・四丁目町内会),東部管理センター,火 金,木2,木4
泉町,東部管理センター,月 木,金3,水1
一番町,東部管理センター,火 金,木3,木4
稲川１丁目,東部管理センター,火 金,水3,木4
稲川２～３丁目,東部管理センター,月 木,金4,金3
井宮町,東部管理センター,水 土,金4,金1
伊呂波町,東部管理センター,月 木,火4,火1
牛妻,東部管理センター,水 土,火2,月2
内牧,東部管理センター,水 土,月2,火2
宇津ノ谷,東部管理センター,火 金,水2,水3
有東１～２丁目,東部管理センター,月 木,水4,水3
有東３丁目,東部管理センター,月 木,金2,火3
産女,東部管理センター,火 金,水4,木3
梅屋町,東部管理センター,月 木,金1,火1
漆山,東部管理センター,水 土,火2,月2
遠藤新田,東部管理センター,火 金,水4,木3
追手町,東部管理センター,火 金,木3,月2
大岩１～３丁目,東部管理センター,月 木,木3,水1
大岩４丁目（静清バイパス以北）,東部管理センター,火 金,木3,水1
大岩４丁目（静清バイパス以北以外）,東部管理センター,火 金,木3,水1
大岩町（大岩町町内会）,東部管理センター,火 金,木3,月2
大岩町（大岩町町内会以外）,東部管理センター,火 金,月3,月2
大岩本町、大岩宮下町,東部管理センター,月 木,金3,水1
大鋸町,東部管理センター,火 金,月2,月3
太田町,東部管理センター,火 金,水2,木4
大坪町,東部管理センター,月 木,金2,火3
大原,東部管理センター,月 木,火3,火4
大谷、大谷１～３丁目,東部管理センター,水 土,金1,月4
大和田,東部管理センター,月 木,水3,水2
小黒１丁目(曲金２丁目２区自治会以外),東部管理センター,月 木,水3,金1
小黒１丁目(曲金２丁目２区自治会),東部管理センター,火 金,水3,水2
小黒２～３丁目,東部管理センター,水 土,金1,月4
小坂、小坂１～３丁目,東部管理センター,月 木,火4,金2
小鹿、小鹿１～２丁目,東部管理センター,月 木,火2,金2
小鹿３丁目,東部管理センター,火 金,木2,木4
音羽町,東部管理センター,月 木,火3,火4
恩田原,東部管理センター,水 土,金4,金3
籠上,東部管理センター,火 金,木2,木4
春日１～３丁目,東部管理センター,火 金,月2,月3
春日町,東部管理センター,月 木,水4,水1
片羽町,東部管理センター,月 木,火3,火4
片山,東部管理センター,月 木,火4,火1
門屋,東部管理センター,水 土,金1,金4
鎌田,東部管理センター,火 金,月2,水3
上足洗,東部管理センター,火 金,月1,水3
上足洗１～２丁目,東部管理センター,火 金,木1,水3
上足洗３丁目,東部管理センター,火 金,水1,水3
上足洗４丁目,東部管理センター,月 木,水4,水1
上桶屋町,東部管理センター,水 土,金1,金4
上川原(上河原自治会以外),東部管理センター,水 土,金1,月1
上川原(上河原自治会),東部管理センター,火 金,月2,月3
上沓谷町,東部管理センター,火 金,水4,月3
上石町,東部管理センター,月 木,金3,水1
上新富町,東部管理センター,水 土,火4,火2
上伝馬,東部管理センター,月 木,金1,水4
唐瀬１丁目（岳美町内会）,東部管理センター,月 木,金1,金4
唐瀬１丁目（岳美町内会以外）,東部管理センター,月 木,金1,金4
唐瀬２～３丁目,東部管理センター,月 木,金2,火2
川合,東部管理センター,月 木,金2,水2
川合、川合１～３丁目,東部管理センター,火 金,水3,水2
川越町,東部管理センター,火 金,水4,水2
川辺町１～２丁目,東部管理センター,火 金,月2,月3
瓦場町,東部管理センター,月 木,金1,火1
北、北１～５丁目,東部管理センター,火 金,木1,月4
北安東１丁目（安東３丁目町内会）,東部管理センター,火 金,木1,水4
